state,abbr,district,headquarters,population,area,density,url
CG,RG,Raigarh,Raigarh,1493627,7068,211,https://web.archive.org/web/20050307064830/http://raigarh.nic.in/
CG,RP,Raipur,Raipur,4062160,13083,310,http://raipur.nic.in/
CG,RN,Rajnandgaon,Rajnandgaon,1537520,8062,191,http://rajnandgaon.nic.in/
CG,SK,Sukma,Sukma,249000,5636,49,http://dantewada.gov.in/Sukma.html/[permanent dead link]
CG,SJ,Surajpur,Surajpur,660280,6787,150,http://surajpur.gov.in/
CG,SJ,Surguja,Ambikapur,420661,3265,150,http://surguja.nic.in/
DN,DN,Dadra and Nagar Haveli,Silvassa,342853,704,698,
DD,DA,Daman,Daman,190855,72,2651,
DD,DI,Diu,Diu,52056,40,1301,
DL,CD,Central Delhi,Daryaganj,578671,25,23149,http://dccentral.delhigovt.nic.in/
DL,ED,East Delhi,Preet Vihar,1707725,440,26683,http://dceast.delhigovt.nic.in/
DL,ND,New Delhi,Connaught Place,133713,22,3820,http://dcnewdelhi.delhigovt.nic.in/
DL,NO,North Delhi,Sadar Bazaar,883418,59,14973,http://dcnorth.delhigovt.nic.in/
DL,NE,North East Delhi,Shahdara,2240749,52,37346,http://dcnortheast.delhigovt.nic.in/
DL,NW,North West Delhi,Kanjhawala,3651261,130,8298,http://dcnorthwest.delhigovt.nic.in/
DL,SD,South Delhi,Saket,2733752,250,10935,http://dcsouth.delhigovt.nic.in/
DL,SW,South West Delhi,Vasant Vihar,2292363,395,5445,http://dcsouthwest.delhigovt.nic.in/
DL,WD,West Delhi,Rajouri Garden,2531583,112,19625,https://web.archive.org/web/20070103184838/http://dcwestrev.delhigovt.nic.in/
GA,NG,North Goa,Panaji,817761,1736,471,http://northgoa.nic.in/
GA,SG,South Goa,Margao,639962,1966,326,http://southgoa.nic.in/
GJ,AH,Ahmedabad,Ahmedabad,7208200,8707,890,http://ahmedabad.gujarat.gov.in/
GJ,AM,Amreli,Amreli,1513614,6760,205,http://amreli.gujarat.gov.in/
GJ,AN,Anand,Anand,2090276,2942,711,http://anand.gujarat.gov.in/
GJ,AR,Aravalli,Modasa,1051746,3217,327,
GJ,BK,Banaskantha,Palanpur,3116045,12703,290,http://banaskantha.gujarat.gov.in/
GJ,BR,Bharuch,Bharuch,1550822,6524,238,http://bharuch.gujarat.gov.in/
GJ,BV,Bhavnagar,Bhavnagar,2877961,11155,288,http://bhavnagar.gujarat.gov.in/
GJ,BT,Botad,Botad,656005,2564,256,
GJ,CU,Chhota Udaipur,Chhota Udaipur,1071831,3237,331,
GJ,DA,Dahod,Dahod,2126558,3642,582,http://dahod.gujarat.gov.in/
GJ,DG,Dang,Ahwa,226769,1764,129,http://dangs.gujarat.gov.in/
GJ,DB,Devbhoomi Dwarka,Khambhalia,752484,5684,132,
GJ,GA,Gandhinagar,Gandhinagar,1387478,649,660,http://gandhinagar.gujarat.gov.in/
GJ,GS,Gir Somnath,Veraval,1217477,3754,324,
GJ,JA,Jamnagar,Jamnagar,2159130,14125,153,http://jamnagar.gujarat.gov.in/
GJ,JU,Junagadh,Junagadh,2742291,8839,310,http://junagadh.gujarat.gov.in/
GJ,KH,Kheda,Nadiad,2298934,4215,541,http://kheda.gujarat.gov.in/
GJ,KA,Kutch,Bhuj,2090313,45652,46,http://kutch.gujarat.gov.in/
GJ,MH,Mahisagar,Lunavada,994624,2500,398,http://mahisagar.gujarat.gov.in/
GJ,MA,Mehsana,Mehsana,2027727,4386,462,http://mehsana.gujarat.gov.in/
GJ,MB,Morbi,Morbi,960329,4871,197,http://morbi.gujarat.gov.in/
GJ,NR,Narmada,Rajpipla,590379,2749,214,http://narmada.gujarat.gov.in/
GJ,NV,Navsari,Navsari,1330711,2211,602,http://navsari.gujarat.gov.in/
GJ,PM,Panchmahal,Godhra,2388267,5219,458,https://web.archive.org/web/20090204080000/http://panchmahals.gujarat.gov.in/
GJ,PA,Patan,Patan,1342746,5738,234,http://patan.gujarat.gov.in/
GJ,PO,Porbandar,Porbandar,586062,2294,255,http://porbandar.gujarat.gov.in/
GJ,RA,Rajkot,Rajkot,3157676,11203,282,http://rajkot.gujarat.gov.in/
GJ,SK,Sabarkantha,Himatnagar,2427346,7390,328,http://sabarkantha.gujarat.gov.in/
GJ,ST,Surat,Surat,4996391,4327,653,http://surat.gujarat.gov.in/
GJ,SN,Surendranagar,Surendranagar,1755873,10489,167,http://surendranagar.gujarat.gov.in/
GJ,TA,Tapi,Vyara,806489,3435,249,http://tapidp.gujarat.gov.in/Tapi/english/index.htm
GJ,VD,Vadodara,Vadodara,3639775,7794,467,http://vadodara.gujarat.gov.in/
GJ,VL,Valsad,Valsad,1703068,3034,561,http://valsad.gujarat.gov.in/
HR,AM,Ambala,Ambala,1136784,1569,722,http://ambala.nic.in/
HR,BH,Bhiwani,Bhiwani,1629109,5140,341,http://bhiwani.nic.in/
HR,CD,Charkhi Dadri,Charkhi Dadri,,,,
HR,FR,Faridabad,Faridabad,1798954,783,2298,http://faridabad.nic.in/
HR,FT,Fatehabad,Fatehabad,941522,2538,371,http://fatehabad.nic.in/
HR,GU,Gurgaon,Gurgaon,1514085,2760,1241,https://web.archive.org/web/20080602231540/http://gurgaon.nic.in/
HR,HI,Hissar,Hissar,1742815,3788,438,http://hisar.nic.in/
HR,JH,Jhajjar,Jhajjar,956907,1868,522,http://jhajjar.nic.in/
HR,JI,Jind,Jind,1332042,2702,493,http://jind.nic.in/
HR,KT,Kaithal,Kaithal,1072861,2799,467,https://web.archive.org/web/20051211025029/http://kaithal.nic.in/
HR,KR,Karnal,Karnal,1506323,2471,598,http://karnal.nic.in/
HR,KU,Kurukshetra,Kurukshetra,964231,1530,630,http://kurukshetra.nic.in/
HR,MA,Mahendragarh,Narnaul,921680,1900,485,http://mahendragarh.nic.in/
HR,MW,Nuh,Nuh,1089406,1765,729,http://mewat.gov.in/
HR,PW,Palwal,Palwal,1040493,1367,761,http://palwal.gov.in/
HR,PK,Panchkula,Panchkula,558890,816,622,http://panchkula.nic.in/
HR,PP,Panipat,Panipat,1202811,1250,949,http://panipat.gov.in/
HR,RE,Rewari,Rewari,896129,1559,562,https://web.archive.org/web/20070703082821/http://rewari.nic.in/
HR,RO,Rohtak,Rohtak,1058683,1668,607,https://web.archive.org/web/20090209215206/http://rohtak.nic.in/
HR,SI,Sirsa,Sirsa,1295114,4276,303,http://sirsa.nic.in/
HR,SNP,Sonipat,Sonipat,1480080,2260,697,http://sonepat.gov.in/[permanent dead link]
HR,YN,Yamuna Nagar,Yamuna Nagar,1214162,1756,687,http://yamunanagar.nic.in/
HP,BI,Bilaspur,Bilaspur,382056,1167,327,http://hpbilaspur.gov.in/
HP,CH,Chamba,Chamba,518844,6528,80,http://hpchamba.nic.in/
HP,HA,Hamirpur,Hamirpur,454293,1118,406,http://hphamirpur.gov.in/
HP,KA,Kangra,Dharamshala,1507223,5739,263,http://hpkangra.nic.in/
HP,KI,Kinnaur,Reckong Peo,84298,6401,13,http://hpkinnaur.nic.in/
HP,KU,Kullu,Kullu,437474,5503,79,http://hpkullu.gov.in/
HP,LS,Lahaul and Spiti,Keylong,31528,13835,2,http://hplahaulspiti.gov.in
HP,MA,Mandi,Mandi,999518,3950,253,http://hpmandi.nic.in/
HP,SH,Shimla,Shimla,813384,5131,159,http://hpshimla.nic.in/
HP,SI,Sirmaur,Nahan,530164,2825,188,http://hpsirmaur.gov.in/
HP,SO,Solan,Solan,576670,1936,298,http://hpsolan.gov.in/
HP,UNA,Una,Una,521057,1540,328,http://hpuna.nic.in/
JK,AN,Anantnag,Anantnag,1070144,2853,375,http://anantnag.gov.in/
JK,BPR,Bandipora,Bandipore,385099,3010,128,http://bandipore.gov.in/
JK,BR,Baramulla,Baramulla,1015503,3329,305,http://baramulla.nic.in/
